ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Accession_Name,Country_of_Origin,Region,Alu.Tol,Flowering time at Arkansas,Flowering time at Faridpur,Flowering time at Aberdeen,FT ratio of Arkansas/Aberdeen,FT ratio of Faridpur/Aberdeen,Culm habit,Leaf pubescence,Flag leaf length,Flag leaf width,Awn presence,Panicle number per plant,Plant height,Panicle length,Primary panicle branch number,Seed number per panicle,Florets per panicle,Panicle fertility,Seed length,Seed width,Seed volume,Seed surface area,Brown rice seed length,Brown rice seed width,Brown rice surface area,Brown rice volume,Seed length/width ratio,Brown rice length/width ratio,Seed color,Pericarp color,Straighthead suseptability,Blast resistance,Amylose content,Alkali spreading value,Protein content
NSFTV630,-6.407567227407108,8.912004075010687,12.302745371772433,-3.375094054902834,14.954868946946927,2.2286700101742523,-3.5798687781981426,0.9251853723263148,0.23704822957045957,-1.420382852139982,Saber,United States,America,NA,84.5,NA,NA,NA,NA,3,NA,30.66666667,1.283333333,0,2.944438979,88.66666667,24.18333333,9.833333333,4.88909521,4.977882508,0.915,8.78595,2.43575,1.896912463,3.627370118,6.64115,2.0797,3.244299877,3.923133333,3.607,3.193,light,light,4,NA,19.78,5,9.85
NSFTV632,-17.30895603669369,5.255910462859226,15.066616887004807,-1.8742217499433989,21.461482170349992,0.25559328269173376,-4.0087918240969715,4.879281145521865,1.2784236003763794,-1.3648061852231383,Francis,United States,America,NA,81.5,NA,NA,NA,NA,1,NA,27.45,1.383333333,0,2.696876901,94.83333333,27.03333333,13,5.151362954,5.274707501,0.884,9.2707,2.525183333,2.045029084,3.73388867,7.09925,2.12605,3.342121248,4.465033333,3.671,3.339,light,light,NA,NA,21.11,5,9.8
NSFTV633,39.4109987282654,11.471718627687924,-7.369343758225962,0.9548021072753681,1.4380759394935956,-10.561749427588646,6.066686802570487,3.124360512389702,-3.371975175641684,-2.24389444311185,Jing 185-7,China,E Asia,NA,94.5,NA,NA,NA,NA,7,NA,26.21666667,1,0,3.516508228,88.16666667,24.48333333,9.166666667,5.041272264,5.205836514,0.848,8.48015,2.406183333,1.839673588,3.578095462,6.34985,2.045,3.193091583,3.719833333,3.524,3.105,light,light,NA,NA,26.37,7,9.35
NSFTV634,43.705290385537495,19.145153327947455,-9.585683850723116,-1.2854033550369517,2.16918509509408,-5.70065348535947,8.362137348391103,2.3785566287971296,-5.800262468156654,-1.269302309725627,Rondo (4484-1693),China,E Asia,NA,89,NA,NA,NA,NA,3,NA,34.5,1.5,1,3.52144651,107.1666667,28.53333333,9.666666667,5.059425458,5.156177599,0.908,9.47815,2.648166667,2.121364929,3.773614214,6.9014,2.24605,3.361171945,4.795316667,3.579,3.073,light,light,NA,NA,26.13,7,8.65
NSFTV244,-12.386460108782728,4.529181317678163,0.0016136678988777423,0.8150594557750841,1.4244558872142108,0.3804933451033147,3.756362798942669,-2.426737644377086,0.2159713019399025,3.5028279314949526,Arabi,Egypt,Africa,0.582,106.4166667,80,117,0.90954416,0.683760684,5,1,42.08888889,1.288888889,0,3.251665648,100.5,30.6,12.85714286,4.968423445,5.479712568,0.6,9.576363636,2.889827273,2.299389082,3.866590589,7.075227273,2.315027273,3.405521051,5.151472727,3.314,3.056,light,light,6.668333334,3,22.33666667,6.5,8.5
NSFTV135,-24.390355703807526,7.377184273228634,20.960652853680365,-3.3767883017630624,-7.338602694481478,0.20891936857892007,-0.2557883424669433,0.5504669486355211,0.5033287375097898,-0.38042421603826193,RT 1031-69,Zaire,Africa,0.698,93.16666667,78,101,0.922442244,0.772277228,3,0,35.16666667,1.616666667,0,2.708050201,99.08333333,23.80909091,11.54545455,4.925275445,5.181272695,0.774,9.054366667,3.229658333,2.454377279,3.913285209,6.736,2.736658333,3.528843224,6.881525,2.804,2.461,light,light,7.498333334,1,19.615,5.625,9.2
NSFTV326,36.42675930618993,-25.179284633950846,7.245021404906156,-3.753378629401506,0.1192272364775723,4.794444552884622,7.888020105179655,6.91812673694211,7.089165546937702,-0.24547827777198328,Ghorbhai,Bangladesh,S Asia,0.13,84.25,NA,94,0.896276596,NA,6.333333333,1,44.775,1.45,0,3.73369347,125.4444444,30.13333333,9.583333333,5.150397236,5.202173506,0.95,7.658066667,2.746225,1.931459816,3.561737841,5.58205,2.360725,3.196751545,4.296541667,2.789,2.365,light,light,7.331666667,8,24.62,5,7.95
NSFTV37,-20.07262489934869,7.065143398557344,14.722627928407412,-2.0767481421358203,13.735599430695252,0.47249066972800696,-4.569762804920142,2.0497867227148943,-1.3547571039059496,-2.590580798691259,Cuba 65,Cuba,America,0.47,85.83333333,NA,94,0.913120567,NA,3,0,24.91666667,1.191666667,0,2.552045953,101.5833333,26.05555556,13.44444444,5.251225759,5.407171771,0.856,9.258,2.571183333,2.052351866,3.732223266,6.907083333,2.199916667,3.344604984,4.622075,3.601,3.14,light,light,5,6,21.09,4.083333334,7.6
NSFTV629,-26.109187871367684,2.9724822895607006,4.972929578500444,-3.14232334911135,7.916249758062044,-0.006312040535836586,-2.066923656736889,0.13784717628584703,0.9310555407945182,-6.284680782505257,Panda,Italy,Europe,NA,72.5,NA,NA,NA,NA,7,NA,21.8,0.925,0,3.079613758,98,20.15,9.25,4.995521656,5.079850363,0.919,9.7649,2.5815,2.129760299,3.79855415,7.7683,2.174775,3.442336926,5.005625,3.783,3.572,light,light,7.33,NA,17.96,5,8.75
NSFTV342,-25.84790239378745,7.999169866796024,15.50798208253108,-4.044894814355061,-13.282768169099375,-3.455315603991312,-4.050079542361562,7.051925282142886,-0.3621672283671771,-3.860493674387428,Cenit,Argentina,America,0.622,90.25,79,107,0.843457944,0.738317757,2.5,1,36.23333333,1.408333333,0,2.931193752,118.0833333,25.12222222,11.11111111,5.196038517,5.525452939,0.719,8.109954545,3.013809091,2.182206305,3.72050144,5.860391667,2.473775,3.30687846,5.092083333,2.691,2.369,light,light,7.668333334,5,16.38333333,7,8.1
